,osmid,lanes,name,highway,maxspeed,oneway,length,ref,geometry,width,service,junction,access,bridge,tunnel
8574,192658998,1,Herendreef,residential,30,True,225.557,,"LINESTRING (4.6798049 50.8575797, 4.6806071 50.8556671, 4.6806274 50.8556188)",,,,,,
8575,104794419,,Abdijstraat,living_street,10,False,144.449,,"LINESTRING (4.7156047 50.861012, 4.7153613 50.8610177, 4.7151898 50.8609136, 4.7148475 50.8609208, 4.7148941 50.8616992)",,,,,,
8576,104794394,,,service,,True,39.519,,"LINESTRING (4.7169434 50.859075, 4.7173168 50.858809)",,parking_aisle,,customers,,
8577,104794416,,,service,,True,60.836,,"LINESTRING (4.7169434 50.859075, 4.7167155 50.8589557, 4.7167027 50.8588805, 4.7165376 50.8587925, 4.7166876 50.8586785)",,parking_aisle,,customers,,
8578,104794410,,,service,,False,9.153,,"LINESTRING (4.7169827 50.8587241, 4.7169003 50.8587879)",,parking_aisle,,customers,,
8579,104794416,,,service,,True,10.222,,"LINESTRING (4.7173168 50.858809, 4.717427 50.8588691)",,parking_aisle,,customers,,
8580,114869072,,Abdijstraat,residential,30,False,76.482,,"LINESTRING (4.7148941 50.8616992, 4.7138057 50.8617329)",6,,,yes,,
8581,104794419,,Abdijstraat,living_street,10,False,144.449,,"LINESTRING (4.7148941 50.8616992, 4.7148475 50.8609208, 4.7151898 50.8609136, 4.7153613 50.8610177, 4.7156047 50.861012)",,,,,,
8582,"[114869072, 793543657]",,Abdijstraat,"['residential', 'track']",30,False,265.864,,"LINESTRING (4.7148941 50.8616992, 4.7154171 50.861683, 4.7156833 50.8616747, 4.7164126 50.8616521, 4.717103 50.8616307, 4.7171746 50.8616285, 4.7178655 50.861605, 4.7178671 50.861605, 4.7183604 50.8615897, 4.718395 50.8615887, 4.7186774 50.86158)","['3', '6']",,,yes,,
8583,104794422,,,service,,False,19.258,,"LINESTRING (4.7166876 50.8586785, 4.7169003 50.8587879)",,parking_aisle,,customers,,
8584,104794416,,,service,,True,59.434,,"LINESTRING (4.7166876 50.8586785, 4.7168348 50.8585667, 4.7171477 50.8587169, 4.7173168 50.858809)",,parking_aisle,,customers,,
8585,192658996,2,Geldenaaksebaan,tertiary,50,False,39.258,,"LINESTRING (4.717473 50.8588941, 4.7172803 50.85904, 4.7171016 50.8591578)",5,,,,,
8586,192658996,2,Geldenaaksebaan,tertiary,50,False,89.749,,"LINESTRING (4.717473 50.8588941, 4.7175765 50.8588078, 4.7178041 50.858567, 4.7178977 50.8584329, 4.7180713 50.858184)",5,,,,,
8587,104794410,,,service,,False,6.429,,"LINESTRING (4.7168424 50.8588327, 4.7169003 50.8587879)",,parking_aisle,,customers,,
8588,104794416,,,service,,True,3.609,,"LINESTRING (4.7171016 50.8591578, 4.717062 50.8591371)",,parking_aisle,,customers,,
8589,192658996,2,Geldenaaksebaan,tertiary,50,False,6.078,,"LINESTRING (4.7171016 50.8591578, 4.7170383 50.8591951)",5,,,,,
8590,192658996,2,Geldenaaksebaan,tertiary,50,False,39.258,,"LINESTRING (4.7171016 50.8591578, 4.7172803 50.85904, 4.717473 50.8588941)",5,,,,,
8591,104794410,,,service,,False,9.153,,"LINESTRING (4.7169003 50.8587879, 4.7169827 50.8587241)",,parking_aisle,,customers,,
8592,104794410,,,service,,False,6.429,,"LINESTRING (4.7169003 50.8587879, 4.7168424 50.8588327)",,parking_aisle,,customers,,
8593,104794422,,,service,,False,19.258,,"LINESTRING (4.7169003 50.8587879, 4.7166876 50.8586785)",,parking_aisle,,customers,,
8594,8128171,1,,service,,False,69.152,,"LINESTRING (4.6781375 50.8590409, 4.678469 50.85922, 4.6785418 50.8593507, 4.6787836 50.8594919)",,,,permissive,,
8595,294962246,1,,service,,False,66.102,,"LINESTRING (4.6781375 50.8590409, 4.6780397 50.8591122, 4.6775085 50.8588286, 4.6775085 50.8587676)",,,,permissive,,
8596,294962246,1,,service,,False,147.88,,"LINESTRING (4.6781375 50.8590409, 4.6785052 50.858773, 4.6773304 50.8581393)",,,,permissive,,
8597,80196403,,Holsbeeksesteenweg,tertiary,30,False,4.417,,"LINESTRING (4.7306289 50.8943897, 4.7306222 50.8943502)",,,,,,
8598,179193426,,,service,,False,12.075,,"LINESTRING (4.7306289 50.8943897, 4.7304568 50.8943927)",,parking_aisle,,,,
8599,179193411,,Holsbeeksesteenweg,tertiary,30,False,36.242,,"LINESTRING (4.7306289 50.8943897, 4.7306355 50.8944288, 4.7306335 50.8944839, 4.7305776 50.8945991, 4.7305588 50.8946405, 4.7305508 50.8946636, 4.7305486 50.8947079)",,,,,,
8600,23925538,,,cycleway,,False,3.632,,"LINESTRING (4.7304568 50.8943927, 4.7304502 50.8943603)",,,,,,
8601,23925538,,,cycleway,,False,11.079,,"LINESTRING (4.7304568 50.8943927, 4.730476 50.8944916)",,,,,,
8602,179193426,,,service,,False,12.075,,"LINESTRING (4.7304568 50.8943927, 4.7306289 50.8943897)",,parking_aisle,,,,
8603,179193426,,,service,,False,26.03,,"LINESTRING (4.7304568 50.8943927, 4.7302962 50.8943816, 4.7300879 50.894367)",,parking_aisle,,,,
